dt,AverageTemperature,Country,dt_formatted,month_offset
1894-12-01,25.056,Indonesia,1894-12-01,840
1895-01-01,25.012,Indonesia,1895-01-01,841
1895-02-01,24.851,Indonesia,1895-02-01,842
1895-03-01,25.166,Indonesia,1895-03-01,843
1895-04-01,25.387,Indonesia,1895-04-01,844
1895-05-01,25.606,Indonesia,1895-05-01,845
1895-06-01,25.407,Indonesia,1895-06-01,846
1895-07-01,24.946,Indonesia,1895-07-01,847
1895-08-01,24.768,Indonesia,1895-08-01,848
1895-09-01,25.468000000000004,Indonesia,1895-09-01,849
1895-10-01,25.458,Indonesia,1895-10-01,850
1895-11-01,25.31,Indonesia,1895-11-01,851
1895-12-01,25.137,Indonesia,1895-12-01,852
1896-01-01,24.683000000000003,Indonesia,1896-01-01,853
1896-02-01,25.122,Indonesia,1896-02-01,854
1896-03-01,25.317,Indonesia,1896-03-01,855
1896-04-01,25.337,Indonesia,1896-04-01,856
1896-05-01,25.611,Indonesia,1896-05-01,857
1896-06-01,25.168000000000003,Indonesia,1896-06-01,858
1896-07-01,24.875,Indonesia,1896-07-01,859
1896-08-01,25.159,Indonesia,1896-08-01,860
1896-09-01,25.338,Indonesia,1896-09-01,861
1896-10-01,25.290000000000006,Indonesia,1896-10-01,862
1896-11-01,25.721,Indonesia,1896-11-01,863
1896-12-01,25.399,Indonesia,1896-12-01,864
1897-01-01,25.493,Indonesia,1897-01-01,865
1897-02-01,25.937,Indonesia,1897-02-01,866
1897-03-01,25.841,Indonesia,1897-03-01,867
1897-04-01,25.754,Indonesia,1897-04-01,868
1897-05-01,25.84,Indonesia,1897-05-01,869
1897-06-01,26.071,Indonesia,1897-06-01,870
1897-07-01,25.563,Indonesia,1897-07-01,871
1897-08-01,25.615,Indonesia,1897-08-01,872
1897-09-01,25.445,Indonesia,1897-09-01,873
1897-10-01,25.606,Indonesia,1897-10-01,874
1897-11-01,25.592,Indonesia,1897-11-01,875
1897-12-01,25.376,Indonesia,1897-12-01,876
1898-01-01,25.273000000000003,Indonesia,1898-01-01,877
1898-02-01,25.341,Indonesia,1898-02-01,878
1898-03-01,25.072,Indonesia,1898-03-01,879
1898-04-01,25.432,Indonesia,1898-04-01,880
1898-05-01,25.593000000000004,Indonesia,1898-05-01,881
1898-06-01,25.637,Indonesia,1898-06-01,882
1898-07-01,24.961,Indonesia,1898-07-01,883
1898-08-01,25.273000000000003,Indonesia,1898-08-01,884
1898-09-01,25.249,Indonesia,1898-09-01,885
1898-10-01,25.418000000000006,Indonesia,1898-10-01,886
1898-11-01,25.282,Indonesia,1898-11-01,887
1898-12-01,25.103,Indonesia,1898-12-01,888
1899-01-01,25.165,Indonesia,1899-01-01,889
1899-02-01,25.033,Indonesia,1899-02-01,890
1899-03-01,24.784,Indonesia,1899-03-01,891
1899-04-01,25.16,Indonesia,1899-04-01,892
1899-05-01,25.687,Indonesia,1899-05-01,893
1899-06-01,24.9,Indonesia,1899-06-01,894
1899-07-01,25.102,Indonesia,1899-07-01,895
1899-08-01,25.084,Indonesia,1899-08-01,896
1899-09-01,25.192,Indonesia,1899-09-01,897
1899-10-01,25.508000000000006,Indonesia,1899-10-01,898
1899-11-01,25.443,Indonesia,1899-11-01,899
